Al2O2-GaS,1.14,7.184482565,8.064708,8.064708,2.934695
Al2S2-GaS,1.687,8.540360176,6.066954,6.066954,3.872658
Al2Se2-GaS,1.514,8.874177177,6.69099,6.69099,4.330578
Al2Te2-GaS,1.329,9.420485207,7.947232,7.947232,4.882902
AlAs-BN,0.009,2.720742735,14.084782,14.084782,96.754844
AlN-BN,1.595,3.850376293,4.055624,4.055624,3.449365
AlSb-GeSe,0.021,3.517604182,26.070015,26.070015,12.993316
AsB-BN,0.026,4.117478764,15.970981,15.970981,2.974226
BaBr2-MoS2,3.717,7.360424941,2.901413,2.901413,2.707894
BaCl2-CdI2,5.117,5.606970426,2.795309,2.795309,2.389592
BaCl2-MoS2,4.453,7.224248978,2.522459,2.522459,2.196009
Bi2O2-GaS,0.001,6.761904277,7.538404,7.538404,1841.321225
BN-BN,3.253,3.373451439,4.740821,4.740821,2.450668
BP-BN,0.023,3.915892067,15.225998,15.225998,3.005452
Br2Ge-CdI2,2.07,6.234190594,6.806743,6.806743,4.664027
Br2Ge-MoS2,1.856,5.629493116,4.858899,4.858899,5.045705
C2F2-CH,2.844,5.70494021,3.083404,3.083404,2.526804
C2H2-CH,4.023,4.33370828,3.657892,3.657892,3.649832
CaBr2-CdI2,4.365,6.179424991,3.337801,3.337801,3.066228
CaBr2-MoS2,3.776,7.249834776,3.129303,3.129303,2.879801
CaCl2-CdI2,5.331,5.889287147,2.819564,2.819564,2.493616
CaCl2-MoS2,4.469,6.963418972,2.67432,2.67432,2.384937
CaI2-CdI2,3.56,7.096429353,3.84263,3.84263,3.469943
CaI2-MoS2,3.109,8.169186403,3.598645,3.598645,3.17169
CdBr2-CdI2,2.811,6.156725014,4.53095,4.53095,3.913468
CdBr2-MoS2,2.078,7.183191295,4.215173,4.215173,3.471374
CdCl2-CdI2,3.575,5.932058411,3.654016,3.654016,2.970087
CdCl2-MoS2,2.727,6.913282391,3.499676,3.499676,2.791638
CdI2-CdI2,2.336,6.963821559,5.565365,5.565365,4.555124
CdI2-MoS2,1.642,8.061812172,5.11758,5.11758,3.773395
CF2Si-CH2Si,1.71,5.879154453,3.639042,3.639042,2.381266
CH2Si-CH2Si,3.841,4.611274185,4.466477,4.466477,3.372715
Cl2Ge-CdI2,2.404,5.956797048,5.283662,5.283662,3.398825
Cl2Ge-MoS2,2.488,5.513722971,3.845257,3.845257,3.420285
CoBr2-CdI2,0.001,5.57659901,89.589384,89.589384,125.827269
CoCl2-CdI2,0,5.480176707,1443.947003,1443.947003,506.175167
Cu2Se2-NiO,0.001,6.460256737,,,
F2Si2-CH,0.458,5.596957494,9.205392,9.205392,2.367913
FeBr2-CdI2,0.419,5.602306901,18.316901,18.316901,10.229388
FeCl2-CdI2,0.589,5.55119859,13.831543,13.831543,5.151901
FeI2-CdI2,0.422,6.341119945,19.207441,19.207441,10.00682
Ga2O2-GaS,1.285,7.172708106,5.175645,5.175645,3.313454
Ga2S2-GaS,2.002,8.444934017,6.433681,6.433681,4.107722
Ga2Se2-GaS,1.266,8.7383372,7.58663,7.58663,4.855986
Ga2Te2-GaS,0.771,9.26040585,9.445231,9.445231,5.568426
GaAs-GeSe,0.005,3.336558577,39.556679,39.556679,18.794915
GaN-BN,1.142,3.895750536,5.511226,5.511226,2.993894
GaP-GeSe,0.014,3.194687339,14.258889,14.258889,6.698272
Ge2H2-CH,0.805,4.69124461,11.971247,11.971247,4.338771
Ge2S2-SnS,0.126,5.386544211,,,
Ge2Se2-SnS,0.063,5.612963768,,,
Ge2Te2-SnS,0.44,5.951947894,15.155889,15.155889,15.733614
GeI2-CdI2,1.919,6.943572841,8.71714,8.71714,5.416476
GeO2-CdI2,3.097,4.676962297,4.096364,4.096364,2.570357
GeO-GeSe,1.199,3.931631904,8.22691,8.22691,4.634819
GeS2-CdI2,0.663,5.918251578,10.07111,10.07111,6.34526
GeSe-GeSe,0.008,4.250300684,11.403522,11.403522,10.969023
GeS-GeSe,0.041,4.257022385,9.557726,9.557726,8.317892
GeTe-GeSe,0.013,4.353252377,15.155889,15.155889,15.733614
